lat_grid,lon_grid,total_focos
-22.77,-47.2,679
-22.72,-47.13,373
-22.73,-47.13,202
-22.72,-47.12,178
-22.77,-47.19,150
-22.85,-47.06,77
-22.73,-47.14,66
-22.83,-47.2,63
-22.83,-47.19,63
-22.92,-46.97,56
-22.87,-47.1,56
-22.75,-47.14,55
-22.73,-47.29,54
-22.74,-47.45,53
-22.71,-47.12,52
-22.77,-47.21,51
-22.71,-47.13,51
-22.71,-47.31,49
-22.75,-47.3,49
-22.8,-47.17,48
-22.92,-47.15,47
-22.62,-47.22,46
-22.71,-47.3,46
-22.75,-47.44,45
-22.7,-47.24,45
-22.88,-47.1,44
-22.72,-47.41,42
-22.62,-46.99,42
-22.88,-47.11,41
-23.12,-47.29,40
-22.86,-47.13,39
-22.87,-47.18,38
-22.83,-47.27,37
-22.87,-47.12,36
-22.7,-47.31,36
-22.74,-47.44,35
-22.68,-47.07,34
-22.74,-47.14,34
-22.84,-47.21,34
-22.72,-47.4,33
-22.77,-47.07,33
-22.86,-47.12,33
-22.78,-47.36,33
-23.05,-47.27,33
-22.75,-47.31,32
-23.12,-47.27,32
-22.81,-47.21,31
-22.65,-46.98,31
-22.85,-47.34,31
-22.59,-46.9,31
-22.54,-47.07,31
-22.72,-47.38,31
-22.7,-47.17,31
-22.75,-47.15,31
-22.87,-47.11,30
-22.87,-47.09,30
-23.0,-47.2,30
-22.94,-47.21,29
-22.78,-47.23,29
-22.78,-47.43,29
-22.62,-46.91,29
-22.99,-47.22,28
-22.7,-47.3,28
-22.76,-47.29,28
-22.72,-47.01,28
-22.8,-47.13,28
-22.88,-47.09,28
-22.84,-47.04,28
-22.9,-47.22,28
-23.0,-47.23,27
-22.7,-46.92,27
-22.72,-47.39,27
-22.7,-47.25,27
-22.71,-47.38,27
-22.78,-47.05,27
-22.89,-47.13,27
-22.6,-46.9,27
-22.67,-46.95,26
-22.81,-47.03,26
-22.64,-47.22,26
-22.89,-47.14,26
-22.85,-47.32,26
-23.19,-47.19,26
-22.97,-47.26,26
-23.0,-47.24,26
-22.49,-47.19,26
-22.81,-47.13,26
-22.82,-47.19,26
-22.7,-47.19,26
-22.85,-47.25,25
-22.75,-47.39,25
-22.76,-47.27,25
-22.86,-47.1,25
-22.71,-47.17,25
-22.57,-46.9,25
-22.98,-47.23,24
-22.96,-47.06,24
-23.0,-47.22,24
-22.97,-47.04,24
-22.88,-47.18,24
-22.85,-47.26,24
-22.92,-47.2,24
-22.85,-47.33,24
-22.86,-47.34,24
-22.76,-47.12,24
-22.73,-47.3,24
-22.77,-47.45,24
-22.82,-47.34,24
